YEAR	FILING_STATUS	LOWER_AMT	UPPER_AMT	TAX_RATE	ADD_ON	AMOUNT_OVER
2018	SINGLE	0	9525	0.1	0	0
2018	SINGLE	9525	38700	0.12	952.5	9525
2018	SINGLE	38700	82500	0.22	4453.5	38700
2018	SINGLE	82500	157500	0.24	14089.5	82500
2018	SINGLE	157500	200000	0.32	32089.5	157500
2018	SINGLE	200000	500000	0.35	45689.5	200000
2018	SINGLE	500000	999999	0.37	150689.5	500000
2018	MFJ/QW	0	19050	0.1	0	0
2018	MFJ/QW	19050	77400	0.12	1905	19050
2018	MFJ/QW	77400	165000	0.22	8907	77400
2018	MFJ/QW	165000	315000	0.24	28179	165000
2018	MFJ/QW	315000	400000	0.32	64179	315000
2018	MFJ/QW	400000	600000	0.35	91379	400000
2018	MFJ/QW	600000	999999	0.37	161379	600000
2018	MFS	0	9525	0.1	0	0
2018	MFS	9525	38700	0.12	952.5	9525
2018	MFS	38700	82500	0.22	4453.5	38700
2018	MFS	82500	157500	0.24	14089.5	82500
2018	MFS	157500	200000	0.32	32089.5	157500
2018	MFS	200000	300000	0.35	45689.5	200000
2018	MFS	300000	999999	0.37	80689.5	300000
2018	HOH	0	13600	0.1	0	0
2018	HOH	13600	51800	0.12	1360	13600
2018	HOH	51800	82500	0.22	5944	51800
2018	HOH	82500	157500	0.24	12698	82500
2018	HOH	157500	200000	0.32	30698	157500
2018	HOH	200000	500000	0.35	44298	200000
2018	HOH	500000	999999	0.37	149298	500000
